Tech implementation started at 2025-03-08 08:18:10
Processing xycraft_machines (Category: high-tech)
cork_oak_pressure_plate - Tech Level: 150
cultivated_pear_bookshelf - Tech Level: 150
cultivated_pear_button - Tech Level: 150
cultivated_pear_pressure_plate - Tech Level: 150
date_crate - Tech Level: 150
date_palm_bookshelf - Tech Level: 150
date_palm_button - Tech Level: 150
date_palm_pressure_plate - Tech Level: 150
douglas_fir_bookshelf - Tech Level: 150
douglas_fir_button - Tech Level: 150
douglas_fir_pressure_plate - Tech Level: 150
elm_bookshelf - Tech Level: 150
elm_button - Tech Level: 150
elm_pressure_plate - Tech Level: 150
entity_spawner - Tech Level: 150
european_larch_bookshelf - Tech Level: 150
european_larch_button - Tech Level: 150
european_larch_pressure_plate - Tech Level: 150
expansion_box_alder - Tech Level: 150
expansion_box_allspice - Tech Level: 150
expansion_box_almond - Tech Level: 150
expansion_box_apricot - Tech Level: 150
expansion_box_aquilaria - Tech Level: 150
expansion_box_asai_palm - Tech Level: 150
expansion_box_ash - Tech Level: 150
expansion_box_aspen - Tech Level: 150
expansion_box_avocado - Tech Level: 150
expansion_box_balsa - Tech Level: 150
expansion_box_balsam_fir - Tech Level: 150
expansion_box_banana - Tech Level: 150
expansion_box_beech - Tech Level: 150
expansion_box_beliy_naliv_apple - Tech Level: 150
expansion_box_black_cherry - Tech Level: 150
expansion_box_black_ember - Tech Level: 150
expansion_box_black_locust - Tech Level: 150
expansion_box_blackthorn - Tech Level: 150
expansion_box_blue_mahoe - Tech Level: 150
expansion_box_blue_yonder - Tech Level: 150
expansion_box_brazil_nut - Tech Level: 150
expansion_box_brown_amber - Tech Level: 150
expansion_box_buddhas_hand - Tech Level: 150
expansion_box_bull_pine - Tech Level: 150
expansion_box_butternut - Tech Level: 150
expansion_box_cacao - Tech Level: 150
expansion_box_carob - Tech Level: 150
expansion_box_cashew - Tech Level: 150
expansion_box_cave_dweller - Tech Level: 150
expansion_box_cedar - Tech Level: 150
expansion_box_cempedak - Tech Level: 150
expansion_box_ceylon_ebony - Tech Level: 150
expansion_box_cherry_plum - Tech Level: 150
expansion_box_cinnamon - Tech Level: 150
expansion_box_citron - Tech Level: 150
expansion_box_clove - Tech Level: 150
expansion_box_cocobolo - Tech Level: 150
expansion_box_coconut - Tech Level: 150
expansion_box_coffea - Tech Level: 150
expansion_box_copoazu - Tech Level: 150
expansion_box_copper_beech - Tech Level: 150
expansion_box_cork_oak - Tech Level: 150
expansion_box_cultivated_pear - Tech Level: 150
expansion_box_date_palm - Tech Level: 150
expansion_box_douglas_fir - Tech Level: 150
expansion_box_elm - Tech Level: 150
expansion_box_european_larch - Tech Level: 150
expansion_box_finger_lime - Tech Level: 150
expansion_box_firecracker - Tech Level: 150
expansion_box_flickering_sun - Tech Level: 150
expansion_box_foggy_blast - Tech Level: 150
expansion_box_ginkgo - Tech Level: 150
expansion_box_golden_delicious_apple - Tech Level: 250
expansion_box_grandidiers_baobab - Tech Level: 150
expansion_box_granny_smith_apple - Tech Level: 150
expansion_box_great_sallow - Tech Level: 150
expansion_box_greenheart - Tech Level: 150
expansion_box_hawthorn - Tech Level: 150
expansion_box_hazel - Tech Level: 150
expansion_box_holly - Tech Level: 150
expansion_box_hornbeam - Tech Level: 150
expansion_box_ipe - Tech Level: 150
expansion_box_iroko - Tech Level: 150
expansion_box_juniper - Tech Level: 150
expansion_box_kapok - Tech Level: 150
expansion_box_key_lime - Tech Level: 150
expansion_box_kumquat - Tech Level: 150
expansion_box_lawson_cypress - Tech Level: 150
expansion_box_lemon - Tech Level: 150
expansion_box_lime - Tech Level: 150
expansion_box_loblolly_pine - Tech Level: 150
expansion_box_mahogany - Tech Level: 150
expansion_box_mandarin - Tech Level: 150
expansion_box_mango - Tech Level: 150
expansion_box_monkey_puzzle - Tech Level: 150
expansion_box_myrtle_ebony - Tech Level: 150
expansion_box_nectarine - Tech Level: 150
expansion_box_night_fuchsia - Tech Level: 150
expansion_box_nutmeg - Tech Level: 150
expansion_box_old_fustic - Tech Level: 150
expansion_box_olive - Tech Level: 150
expansion_box_orange - Tech Level: 150
expansion_box_osage_orange - Tech Level: 150
expansion_box_padauk - Tech Level: 150
expansion_box_pandanus - Tech Level: 150
expansion_box_papaya - Tech Level: 150
expansion_box_peach - Tech Level: 150
expansion_box_pecan - Tech Level: 150
expansion_box_persimmon - Tech Level: 150
expansion_box_pink_ipe - Tech Level: 150
expansion_box_pink_ivory - Tech Level: 150
expansion_box_pistachio - Tech Level: 150
expansion_box_plantain - Tech Level: 150
expansion_box_plum - Tech Level: 150
expansion_box_pomegranate - Tech Level: 150
expansion_box_pomelo - Tech Level: 150
expansion_box_prairie_crabapple - Tech Level: 150
expansion_box_purple_blackthorn - Tech Level: 150
expansion_box_purple_crepe_myrtle - Tech Level: 150
expansion_box_purple_ipe - Tech Level: 150
expansion_box_purple_spiral - Tech Level: 150
expansion_box_purpleheart - Tech Level: 150
expansion_box_rainbow_gum - Tech Level: 150
expansion_box_red_banana - Tech Level: 150
expansion_box_red_crepe_myrtle - Tech Level: 150
expansion_box_red_delicious_apple - Tech Level: 150
expansion_box_red_maple - Tech Level: 150
expansion_box_rippling_willow - Tech Level: 150
expansion_box_rose_gum - Tech Level: 150
expansion_box_rowan - Tech Level: 150
expansion_box_rubber_tree - Tech Level: 150
expansion_box_salak - Tech Level: 150
expansion_box_satsuma - Tech Level: 150
expansion_box_sequoia - Tech Level: 150
expansion_box_silver_fir - Tech Level: 250
expansion_box_silver_lime - Tech Level: 250
expansion_box_socotra_dragon - Tech Level: 150
expansion_box_soul_tree - Tech Level: 150
expansion_box_sour_cherry - Tech Level: 150
expansion_box_soursop - Tech Level: 150
expansion_box_sparkle_cherry - Tech Level: 150
expansion_box_star_anise - Tech Level: 150
expansion_box_sugar_apple - Tech Level: 150
expansion_box_sugar_maple - Tech Level: 150
expansion_box_swamp_gum - Tech Level: 150
expansion_box_sweet_chestnut - Tech Level: 150
expansion_box_sweet_crabapple - Tech Level: 150
expansion_box_sweetgum - Tech Level: 150
expansion_box_tangerine - Tech Level: 150
expansion_box_teak - Tech Level: 150
expansion_box_thunder_bolt - Tech Level: 150
expansion_box_time_traveller - Tech Level: 150
expansion_box_tuscarora_crepe_myrtle - Tech Level: 150
expansion_box_walnut - Tech Level: 150
expansion_box_water_wonder - Tech Level: 150
expansion_box_wenge - Tech Level: 150
expansion_box_western_hemlock - Tech Level: 150
expansion_box_white_ipe - Tech Level: 150
expansion_box_white_poplar - Tech Level: 150
expansion_box_white_willow - Tech Level: 150
expansion_box_whitebeam - Tech Level: 150
expansion_box_wild_cherry - Tech Level: 150
expansion_box_yellow_meranti - Tech Level: 150
expansion_box_yew - Tech Level: 150
expansion_box_zebrano - Tech Level: 150
fig_crate - Tech Level: 150
finger_lime_bookshelf - Tech Level: 150
finger_lime_button - Tech Level: 150
finger_lime_crate - Tech Level: 150
finger_lime_pressure_plate - Tech Level: 150
firecracker_bookshelf - Tech Level: 150
firecracker_button - Tech Level: 150
firecracker_pressure_plate - Tech Level: 150
flickering_sun_bookshelf - Tech Level: 150
flickering_sun_button - Tech Level: 150
flickering_sun_pressure_plate - Tech Level: 150
foggy_blast_bookshelf - Tech Level: 150
foggy_blast_button - Tech Level: 150
foggy_blast_pressure_plate - Tech Level: 150
ginkgo_bookshelf - Tech Level: 150
ginkgo_button - Tech Level: 150
ginkgo_nut_crate - Tech Level: 150
ginkgo_pressure_plate - Tech Level: 150
golden_delicious_apple_bookshelf - Tech Level: 250
golden_delicious_apple_button - Tech Level: 250
golden_delicious_apple_crate - Tech Level: 250
golden_delicious_apple_pressure_plate - Tech Level: 250
grandidiers_baobab_bookshelf - Tech Level: 150
grandidiers_baobab_button - Tech Level: 150
grandidiers_baobab_pressure_plate - Tech Level: 150
granny_smith_apple_bookshelf - Tech Level: 150
granny_smith_apple_button - Tech Level: 150
granny_smith_apple_crate - Tech Level: 150
granny_smith_apple_pressure_plate - Tech Level: 150
great_sallow_bookshelf - Tech Level: 150
great_sallow_button - Tech Level: 150
great_sallow_pressure_plate - Tech Level: 150
greenheart_bookshelf - Tech Level: 150
greenheart_button - Tech Level: 150
greenheart_pressure_plate - Tech Level: 150
haw_crate - Tech Level: 150
hawthorn_bookshelf - Tech Level: 150
hawthorn_button - Tech Level: 150
hawthorn_pressure_plate - Tech Level: 150
hazel_bookshelf - Tech Level: 150
hazel_button - Tech Level: 150
hazel_pressure_plate - Tech Level: 150
hazelnut_crate - Tech Level: 150
holly_bookshelf - Tech Level: 150
holly_button - Tech Level: 150
holly_pressure_plate - Tech Level: 150
hornbeam_bookshelf - Tech Level: 150
hornbeam_button - Tech Level: 150
hornbeam_pressure_plate - Tech Level: 150
ipe_bookshelf - Tech Level: 150
ipe_button - Tech Level: 150
ipe_pressure_plate - Tech Level: 150
iroko_bookshelf - Tech Level: 150
iroko_button - Tech Level: 150
iroko_pressure_plate - Tech Level: 150
juniper_bookshelf - Tech Level: 150
juniper_button - Tech Level: 150
juniper_pressure_plate - Tech Level: 150
kapok_bookshelf - Tech Level: 150
kapok_button - Tech Level: 150
kapok_pressure_plate - Tech Level: 150
key_lime_bookshelf - Tech Level: 150
key_lime_button - Tech Level: 150
key_lime_crate - Tech Level: 150
key_lime_pressure_plate - Tech Level: 150
kumquat_bookshelf - Tech Level: 150
kumquat_button - Tech Level: 150
kumquat_crate - Tech Level: 150
kumquat_pressure_plate - Tech Level: 150
lawson_cypress_bookshelf - Tech Level: 150
lawson_cypress_button - Tech Level: 150
lawson_cypress_pressure_plate - Tech Level: 150
lemon_bookshelf - Tech Level: 150
lemon_button - Tech Level: 150
lemon_crate - Tech Level: 150
lemon_pressure_plate - Tech Level: 150
lime_bookshelf - Tech Level: 150
lime_button - Tech Level: 150
lime_crate - Tech Level: 150
lime_pressure_plate - Tech Level: 150
loblolly_pine_bookshelf - Tech Level: 150
loblolly_pine_button - Tech Level: 150
loblolly_pine_pressure_plate - Tech Level: 150
mahogany_bookshelf - Tech Level: 150
mahogany_button - Tech Level: 150
mahogany_pressure_plate - Tech Level: 150
mandarin_bookshelf - Tech Level: 150
mandarin_button - Tech Level: 150
mandarin_crate - Tech Level: 150
mandarin_pressure_plate - Tech Level: 150
mango_bookshelf - Tech Level: 150
mango_button - Tech Level: 150
mango_crate - Tech Level: 150
mango_pressure_plate - Tech Level: 150
monkey_puzzle_bookshelf - Tech Level: 150
monkey_puzzle_button - Tech Level: 150
monkey_puzzle_pressure_plate - Tech Level: 150
myrtle_ebony_bookshelf - Tech Level: 150
myrtle_ebony_button - Tech Level: 150
myrtle_ebony_pressure_plate - Tech Level: 150
nectarine_bookshelf - Tech Level: 150
nectarine_button - Tech Level: 150
nectarine_crate - Tech Level: 150
nectarine_pressure_plate - Tech Level: 150
night_fuchsia_bookshelf - Tech Level: 150
night_fuchsia_button - Tech Level: 150
night_fuchsia_pressure_plate - Tech Level: 150
nutmeg_bookshelf - Tech Level: 150
nutmeg_button - Tech Level: 150
nutmeg_crate - Tech Level: 150
nutmeg_pressure_plate - Tech Level: 150
old_fustic_bookshelf - Tech Level: 150
old_fustic_button - Tech Level: 150
old_fustic_pressure_plate - Tech Level: 150
olive_bookshelf - Tech Level: 150
olive_button - Tech Level: 150
olive_crate - Tech Level: 150
olive_pressure_plate - Tech Level: 150
orange_bookshelf - Tech Level: 150
orange_button - Tech Level: 150
orange_crate - Tech Level: 150
orange_pressure_plate - Tech Level: 150
osage_orange_bookshelf - Tech Level: 150
osage_orange_button - Tech Level: 150
osage_orange_crate - Tech Level: 150
osage_orange_pressure_plate - Tech Level: 150
padauk_bookshelf - Tech Level: 150
padauk_button - Tech Level: 150
padauk_pressure_plate - Tech Level: 150
pandanus_bookshelf - Tech Level: 150
pandanus_button - Tech Level: 150
pandanus_pressure_plate - Tech Level: 150
papaya_bookshelf - Tech Level: 150
papaya_button - Tech Level: 150
papaya_crate - Tech Level: 150
papaya_pressure_plate - Tech Level: 150
peach_bookshelf - Tech Level: 150
peach_button - Tech Level: 150
peach_crate - Tech Level: 150
peach_pressure_plate - Tech Level: 150
pear_crate - Tech Level: 150
pecan_bookshelf - Tech Level: 150
pecan_button - Tech Level: 150
pecan_crate - Tech Level: 150
pecan_pressure_plate - Tech Level: 150
persimmon_bookshelf - Tech Level: 150
persimmon_button - Tech Level: 150
persimmon_crate - Tech Level: 150
persimmon_pressure_plate - Tech Level: 150
pink_ipe_bookshelf - Tech Level: 150
pink_ipe_button - Tech Level: 150
pink_ipe_pressure_plate - Tech Level: 150
pink_ivory_bookshelf - Tech Level: 150
pink_ivory_button - Tech Level: 150
pink_ivory_pressure_plate - Tech Level: 150
pistachio_bookshelf - Tech Level: 150
pistachio_button - Tech Level: 150
pistachio_crate - Tech Level: 150
pistachio_pressure_plate - Tech Level: 150
plantain_bookshelf - Tech Level: 150
plantain_button - Tech Level: 150
plantain_crate - Tech Level: 150
plantain_pressure_plate - Tech Level: 150
plum_bookshelf - Tech Level: 150
plum_button - Tech Level: 150
plum_crate - Tech Level: 150
plum_pressure_plate - Tech Level: 150
pollen_sifter - Tech Level: 150
pomegranate_bookshelf - Tech Level: 150
pomegranate_button - Tech Level: 150
pomegranate_crate - Tech Level: 150
pomegranate_pressure_plate - Tech Level: 150
pomelo_bookshelf - Tech Level: 150
pomelo_button - Tech Level: 150
pomelo_crate - Tech Level: 150
pomelo_pressure_plate - Tech Level: 150
prairie_crabapple_bookshelf - Tech Level: 150
prairie_crabapple_button - Tech Level: 150
prairie_crabapple_crate - Tech Level: 150
prairie_crabapple_pressure_plate - Tech Level: 150
purple_blackthorn_bookshelf - Tech Level: 150
purple_blackthorn_button - Tech Level: 150
purple_blackthorn_pressure_plate - Tech Level: 150
purple_crepe_myrtle_bookshelf - Tech Level: 150
purple_crepe_myrtle_button - Tech Level: 150
purple_crepe_myrtle_pressure_plate - Tech Level: 150
purple_ipe_bookshelf - Tech Level: 150
purple_ipe_button - Tech Level: 150
purple_ipe_pressure_plate - Tech Level: 150
purple_spiral_bookshelf - Tech Level: 150
purple_spiral_button - Tech Level: 150
purple_spiral_pressure_plate - Tech Level: 150
purpleheart_bookshelf - Tech Level: 150
purpleheart_button - Tech Level: 150
purpleheart_pressure_plate - Tech Level: 150
rainbow_gum_bookshelf - Tech Level: 150
rainbow_gum_button - Tech Level: 150
rainbow_gum_pressure_plate - Tech Level: 150
red_banana_bookshelf - Tech Level: 150
red_banana_button - Tech Level: 150
red_banana_crate - Tech Level: 150
red_banana_pressure_plate - Tech Level: 150
red_crepe_myrtle_bookshelf - Tech Level: 150
red_crepe_myrtle_button - Tech Level: 150
red_crepe_myrtle_pressure_plate - Tech Level: 150
red_delicious_apple_bookshelf - Tech Level: 150
red_delicious_apple_button - Tech Level: 150
red_delicious_apple_crate - Tech Level: 150
red_delicious_apple_pressure_plate - Tech Level: 150
red_maple_bookshelf - Tech Level: 150
red_maple_button - Tech Level: 150
red_maple_pressure_plate - Tech Level: 150
rippling_willow_bookshelf - Tech Level: 150
rippling_willow_button - Tech Level: 150
rippling_willow_pressure_plate - Tech Level: 150
roasted_almond_crate - Tech Level: 150
roasted_beechnut_crate - Tech Level: 150
roasted_brazil_nut_crate - Tech Level: 150
roasted_butternut_crate - Tech Level: 150
roasted_cashew_crate - Tech Level: 150
roasted_chestnut_crate - Tech Level: 150
roasted_coffee_bean_crate - Tech Level: 150
roasted_ginkgo_nut_crate - Tech Level: 150
roasted_hazelnut_crate - Tech Level: 150
roasted_pecan_crate - Tech Level: 150
roasted_pistachio_crate - Tech Level: 150
roasted_walnut_crate - Tech Level: 150
rose_gum_bookshelf - Tech Level: 150
rose_gum_button - Tech Level: 150
rose_gum_pressure_plate - Tech Level: 150
rowan_bookshelf - Tech Level: 150
rowan_button - Tech Level: 150
rowan_crate - Tech Level: 150
rowan_pressure_plate - Tech Level: 150
rubber_tree_bookshelf - Tech Level: 150
rubber_tree_button - Tech Level: 150
rubber_tree_pressure_plate - Tech Level: 150
salak_bookshelf - Tech Level: 150
salak_button - Tech Level: 150
salak_pressure_plate - Tech Level: 150
satsuma_bookshelf - Tech Level: 150
satsuma_button - Tech Level: 150
satsuma_crate - Tech Level: 150
satsuma_pressure_plate - Tech Level: 150
sawmill - Tech Level: 150
sequoia_bookshelf - Tech Level: 150
sequoia_button - Tech Level: 150
sequoia_pressure_plate - Tech Level: 150
silver_fir_bookshelf - Tech Level: 250
silver_fir_button - Tech Level: 250
silver_fir_pressure_plate - Tech Level: 250
silver_lime_bookshelf - Tech Level: 250
silver_lime_button - Tech Level: 250
silver_lime_pressure_plate - Tech Level: 250
sloe_crate - Tech Level: 150
socotra_dragon_bookshelf - Tech Level: 150
socotra_dragon_button - Tech Level: 150
socotra_dragon_pressure_plate - Tech Level: 150
soul_tree_bookshelf - Tech Level: 150
soul_tree_button - Tech Level: 150
soul_tree_pressure_plate - Tech Level: 150
sour_cherry_bookshelf - Tech Level: 150
sour_cherry_button - Tech Level: 150
sour_cherry_crate - Tech Level: 150
sour_cherry_pressure_plate - Tech Level: 150
soursop_bookshelf - Tech Level: 150
soursop_button - Tech Level: 150
soursop_crate - Tech Level: 150
soursop_pressure_plate - Tech Level: 150
sparkle_cherry_bookshelf - Tech Level: 150
sparkle_cherry_button - Tech Level: 150
sparkle_cherry_pressure_plate - Tech Level: 150
sparkling_cherry_crate - Tech Level: 150
star_anise_bookshelf - Tech Level: 150
star_anise_button - Tech Level: 150
star_anise_crate - Tech Level: 150
star_anise_pressure_plate - Tech Level: 150
stripper - Tech Level: 150
sugar_apple_bookshelf - Tech Level: 150
sugar_apple_button - Tech Level: 150
sugar_apple_pressure_plate - Tech Level: 150
sugar_maple_bookshelf - Tech Level: 150
sugar_maple_button - Tech Level: 150
sugar_maple_pressure_plate - Tech Level: 150
swamp_gum_bookshelf - Tech Level: 150
swamp_gum_button - Tech Level: 150
swamp_gum_pressure_plate - Tech Level: 150
sweet_chestnut_bookshelf - Tech Level: 150
sweet_chestnut_button - Tech Level: 150
sweet_chestnut_pressure_plate - Tech Level: 150
sweet_crabapple_bookshelf - Tech Level: 150
sweet_crabapple_button - Tech Level: 150
sweet_crabapple_crate - Tech Level: 150
sweet_crabapple_pressure_plate - Tech Level: 150
sweetgum_bookshelf - Tech Level: 150
sweetgum_button - Tech Level: 150
sweetgum_pressure_plate - Tech Level: 150
sweetsop_crate - Tech Level: 150
tangerine_bookshelf - Tech Level: 150
tangerine_button - Tech Level: 150
tangerine_crate - Tech Level: 150
tangerine_pressure_plate - Tech Level: 150
teak_bookshelf - Tech Level: 150
teak_button - Tech Level: 150
teak_pressure_plate - Tech Level: 150
thunder_bolt_bookshelf - Tech Level: 150
thunder_bolt_button - Tech Level: 150
thunder_bolt_pressure_plate - Tech Level: 150
time_traveller_bookshelf - Tech Level: 150
time_traveller_button - Tech Level: 150
time_traveller_display - Tech Level: 150
time_traveller_pressure_plate - Tech Level: 150
tuscarora_crepe_myrtle_bookshelf - Tech Level: 150
tuscarora_crepe_myrtle_button - Tech Level: 150
tuscarora_crepe_myrtle_pressure_plate - Tech Level: 150
walnut_bookshelf - Tech Level: 150
walnut_button - Tech Level: 150
walnut_crate - Tech Level: 150
walnut_pressure_plate - Tech Level: 150
water_wonder_bookshelf - Tech Level: 150
water_wonder_button - Tech Level: 150
water_wonder_pressure_plate - Tech Level: 150
wenge_bookshelf - Tech Level: 150
wenge_button - Tech Level: 150
wenge_pressure_plate - Tech Level: 150
western_hemlock_bookshelf - Tech Level: 150
western_hemlock_button - Tech Level: 150
western_hemlock_pressure_plate - Tech Level: 150
white_ipe_bookshelf - Tech Level: 150
white_ipe_button - Tech Level: 150
white_ipe_pressure_plate - Tech Level: 150
white_poplar_bookshelf - Tech Level: 150
white_poplar_button - Tech Level: 150
white_poplar_pressure_plate - Tech Level: 150
white_willow_bookshelf - Tech Level: 150
white_willow_button - Tech Level: 150
white_willow_pressure_plate - Tech Level: 150
whitebeam_bookshelf - Tech Level: 150
whitebeam_button - Tech Level: 150
whitebeam_pressure_plate - Tech Level: 150
wild_cherry_bookshelf - Tech Level: 150
wild_cherry_button - Tech Level: 150
wild_cherry_crate - Tech Level: 150
wild_cherry_pressure_plate - Tech Level: 150
yellow_meranti_bookshelf - Tech Level: 150
yellow_meranti_button - Tech Level: 150
yellow_meranti_pressure_plate - Tech Level: 150
yew_bookshelf - Tech Level: 150
yew_button - Tech Level: 150
yew_pressure_plate - Tech Level: 150
zebrano_bookshelf - Tech Level: 150
zebrano_button - Tech Level: 150
zebrano_pressure_plate - Tech Level: 150
advanced_alder_beehive - Tech Level: 300
advanced_allspice_beehive - Tech Level: 300
advanced_almond_beehive - Tech Level: 300
advanced_apricot_beehive - Tech Level: 300
advanced_aquilaria_beehive - Tech Level: 300
advanced_asai_palm_beehive - Tech Level: 300
advanced_ash_beehive - Tech Level: 300
advanced_aspen_beehive - Tech Level: 300
advanced_avocado_beehive - Tech Level: 300
advanced_balsa_beehive - Tech Level: 300
advanced_balsam_fir_beehive - Tech Level: 300
advanced_banana_beehive - Tech Level: 300
advanced_beech_beehive - Tech Level: 300
advanced_beliy_naliv_apple_beehive - Tech Level: 300
advanced_black_cherry_beehive - Tech Level: 300
advanced_black_ember_beehive - Tech Level: 300
advanced_black_locust_beehive - Tech Level: 300
advanced_blackthorn_beehive - Tech Level: 300
advanced_blue_mahoe_beehive - Tech Level: 300
advanced_blue_yonder_beehive - Tech Level: 300
advanced_brazil_nut_beehive - Tech Level: 300
advanced_brown_amber_beehive - Tech Level: 300
advanced_buddhas_hand_beehive - Tech Level: 300
advanced_bull_pine_beehive - Tech Level: 300
advanced_butternut_beehive - Tech Level: 300
advanced_cacao_beehive - Tech Level: 300
advanced_carob_beehive - Tech Level: 300
advanced_cashew_beehive - Tech Level: 300
advanced_cave_dweller_beehive - Tech Level: 300
advanced_cedar_beehive - Tech Level: 300
advanced_cempedak_beehive - Tech Level: 300
advanced_ceylon_ebony_beehive - Tech Level: 300
advanced_cherry_plum_beehive - Tech Level: 300
advanced_cinnamon_beehive - Tech Level: 300
advanced_citron_beehive - Tech Level: 300
advanced_clove_beehive - Tech Level: 300
advanced_cocobolo_beehive - Tech Level: 300
advanced_coconut_beehive - Tech Level: 300
advanced_coffea_beehive - Tech Level: 300
advanced_copoazu_beehive - Tech Level: 300
advanced_copper_beech_beehive - Tech Level: 300
advanced_cork_oak_beehive - Tech Level: 300
advanced_cultivated_pear_beehive - Tech Level: 300
advanced_date_palm_beehive - Tech Level: 300
advanced_douglas_fir_beehive - Tech Level: 300
advanced_elm_beehive - Tech Level: 300
advanced_european_larch_beehive - Tech Level: 300
advanced_finger_lime_beehive - Tech Level: 300
advanced_firecracker_beehive - Tech Level: 300
advanced_flickering_sun_beehive - Tech Level: 300
advanced_foggy_blast_beehive - Tech Level: 300
advanced_ginkgo_beehive - Tech Level: 300
advanced_golden_delicious_apple_beehive - Tech Level: 300
advanced_grandidiers_baobab_beehive - Tech Level: 300
advanced_granny_smith_apple_beehive - Tech Level: 300
advanced_great_sallow_beehive - Tech Level: 300
advanced_greenheart_beehive - Tech Level: 300
advanced_hawthorn_beehive - Tech Level: 300
advanced_hazel_beehive - Tech Level: 300
advanced_holly_beehive - Tech Level: 300
advanced_hornbeam_beehive - Tech Level: 300
advanced_ipe_beehive - Tech Level: 300
advanced_iroko_beehive - Tech Level: 300
advanced_juniper_beehive - Tech Level: 300
advanced_kapok_beehive - Tech Level: 300
advanced_key_lime_beehive - Tech Level: 300
advanced_kumquat_beehive - Tech Level: 300
advanced_lawson_cypress_beehive - Tech Level: 300
advanced_lemon_beehive - Tech Level: 300
advanced_lime_beehive - Tech Level: 300
advanced_loblolly_pine_beehive - Tech Level: 300
advanced_mahogany_beehive - Tech Level: 300
advanced_mandarin_beehive - Tech Level: 300
advanced_mango_beehive - Tech Level: 300
advanced_monkey_puzzle_beehive - Tech Level: 300
advanced_myrtle_ebony_beehive - Tech Level: 300
advanced_nectarine_beehive - Tech Level: 300
advanced_night_fuchsia_beehive - Tech Level: 300
advanced_nutmeg_beehive - Tech Level: 300
advanced_old_fustic_beehive - Tech Level: 300
advanced_olive_beehive - Tech Level: 300
advanced_orange_beehive - Tech Level: 300
advanced_osage_orange_beehive - Tech Level: 300
advanced_padauk_beehive - Tech Level: 300
advanced_pandanus_beehive - Tech Level: 300
advanced_papaya_beehive - Tech Level: 300
advanced_peach_beehive - Tech Level: 300
advanced_pecan_beehive - Tech Level: 300
advanced_persimmon_beehive - Tech Level: 300
advanced_pink_ipe_beehive - Tech Level: 300
advanced_pink_ivory_beehive - Tech Level: 300
advanced_pistachio_beehive - Tech Level: 300
advanced_plantain_beehive - Tech Level: 300
advanced_plum_beehive - Tech Level: 300
advanced_pomegranate_beehive - Tech Level: 300
advanced_pomelo_beehive - Tech Level: 300
advanced_prairie_crabapple_beehive - Tech Level: 300
advanced_purple_blackthorn_beehive - Tech Level: 300
advanced_purple_crepe_myrtle_beehive - Tech Level: 300
advanced_purple_ipe_beehive - Tech Level: 300
advanced_purple_spiral_beehive - Tech Level: 300
advanced_purpleheart_beehive - Tech Level: 300
advanced_rainbow_gum_beehive - Tech Level: 300
advanced_red_banana_beehive - Tech Level: 300
advanced_red_crepe_myrtle_beehive - Tech Level: 300
advanced_red_delicious_apple_beehive - Tech Level: 300
advanced_red_maple_beehive - Tech Level: 300
advanced_rippling_willow_beehive - Tech Level: 300
advanced_rose_gum_beehive - Tech Level: 300
advanced_rowan_beehive - Tech Level: 300
advanced_rubber_tree_beehive - Tech Level: 300
advanced_salak_beehive - Tech Level: 300
advanced_satsuma_beehive - Tech Level: 300
advanced_sequoia_beehive - Tech Level: 300
advanced_silver_fir_beehive - Tech Level: 300
advanced_silver_lime_beehive - Tech Level: 300
advanced_socotra_dragon_beehive - Tech Level: 300
advanced_soul_tree_beehive - Tech Level: 300
advanced_sour_cherry_beehive - Tech Level: 300
advanced_soursop_beehive - Tech Level: 300
advanced_sparkle_cherry_beehive - Tech Level: 300
advanced_star_anise_beehive - Tech Level: 300
advanced_sugar_apple_beehive - Tech Level: 300
advanced_sugar_maple_beehive - Tech Level: 300
advanced_swamp_gum_beehive - Tech Level: 300
advanced_sweet_chestnut_beehive - Tech Level: 300
advanced_sweet_crabapple_beehive - Tech Level: 300
advanced_sweetgum_beehive - Tech Level: 300
advanced_tangerine_beehive - Tech Level: 300
advanced_teak_beehive - Tech Level: 300
advanced_thunder_bolt_beehive - Tech Level: 300
advanced_time_traveller_beehive - Tech Level: 300
advanced_tuscarora_crepe_myrtle_beehive - Tech Level: 300
advanced_walnut_beehive - Tech Level: 300
advanced_water_wonder_beehive - Tech Level: 300
advanced_wenge_beehive - Tech Level: 300
advanced_western_hemlock_beehive - Tech Level: 300
advanced_white_ipe_beehive - Tech Level: 300
advanced_white_poplar_beehive - Tech Level: 300
advanced_white_willow_beehive - Tech Level: 300
advanced_whitebeam_beehive - Tech Level: 300
advanced_wild_cherry_beehive - Tech Level: 300
advanced_yellow_meranti_beehive - Tech Level: 300
advanced_yew_beehive - Tech Level: 300
advanced_zebrano_beehive - Tech Level: 300
alder_bookshelf - Tech Level: 150
alder_button - Tech Level: 150
alder_pressure_plate - Tech Level: 150
allspice_bookshelf - Tech Level: 150
allspice_button - Tech Level: 150
allspice_pressure_plate - Tech Level: 150
allspice - Tech Level: 150
almond_bookshelf - Tech Level: 150
almond_button - Tech Level: 150
almond_crate - Tech Level: 150
almond_pressure_plate - Tech Level: 150
almond - Tech Level: 150
apricot_bookshelf - Tech Level: 150
apricot_button - Tech Level: 150
apricot_crate - Tech Level: 150
apricot_pressure_plate - Tech Level: 150
apricot - Tech Level: 150
aquilaria_bookshelf - Tech Level: 150
aquilaria_button - Tech Level: 150
